Nombre,Categoria,SKU,Precio,Stock,Imagen URL
Roller Drone,General,8436536806922,24428.57,-8.0,https://res.cloudinary.com/darxvchbt/image/upload/8436536806922.webp
Cry Babies Magic Tears,General,8421134097940,114892.22,0.0,https://res.cloudinary.com/darxvchbt/image/upload/8421134097940.webp
"Paraguas Largo P.Cardin 23¨""",General,6190061040337,15457.83,1.0,https://res.cloudinary.com/darxvchbt/image/upload/6190061040337.webp
"Paraguas Largo P. Cardin 23""",General,6190061050428,21793.68,0.0,https://res.cloudinary.com/darxvchbt/image/upload/6190061050428.webp
"Paraguas Automatico Unicross 25""",General,6190062050090,25312.15,-1.0,https://res.cloudinary.com/darxvchbt/image/upload/6190062050090.webp
Riñonera Wilson,General,6165090171123,24253.59,1.0,https://res.cloudinary.com/darxvchbt/image/upload/6165090171123.webp
Bolso Urbano Lsyd,General,6190010009446,22474.21,1.0,https://res.cloudinary.com/darxvchbt/image/upload/6190010009446.webp
"Bolso Urbano Lsyd 16""",General,6199124206161,54092.38,3.0,https://res.cloudinary.com/darxvchbt/image/upload/6199124206161.webp
Mochila Amayra Negra,General,6190067314418,55225.17,0.0,https://res.cloudinary.com/darxvchbt/image/upload/6190067314418.webp
Cartera Amayra Negra,General,6190067310519,55225.17,-1.0,https://res.cloudinary.com/darxvchbt/image/upload/6190067310519.webp
Cartera Amayra Plata,General,6190067310922,70387.09,0.0,https://res.cloudinary.com/darxvchbt/image/upload/6190067310922.webp
Mochila Amayra Marron,General,6190067310731,39930.0,2.0,https://res.cloudinary.com/darxvchbt/image/upload/6190067310731.webp
Cartera Amayra Aero,General,6190067313237,42284.53,1.0,https://res.cloudinary.com/darxvchbt/image/upload/6190067313237.webp
Mochila Amayrea Gris,General,6190067133668,44979.33,1.0,https://res.cloudinary.com/darxvchbt/image/upload/6190067133668.webp
Mochila Amayra Dorada,General,6190067133774,46383.93,0.0,https://res.cloudinary.com/darxvchbt/image/upload/6190067133774.webp
Mochila Amayra Suela,General,6190670133628,46383.93,0.0,https://res.cloudinary.com/darxvchbt/image/upload/6190670133628.webp
Mochila Amayra Nube,General,6190067307946,65345.82,0.0,https://res.cloudinary.com/darxvchbt/image/upload/6190067307946.webp
Morral Urban Unicross,General,6190062036353,25081.16,1.0,https://res.cloudinary.com/darxvchbt/image/upload/6190062036353.webp
Cartera Amayra Verde Osc,General,6190067312131,42284.53,0.0,https://res.cloudinary.com/darxvchbt/image/upload/6190067312131.webp
Cartera Amayra Cobre,General,6190067311936,42284.53,0.0,https://res.cloudinary.com/darxvchbt/image/upload/6190067311936.webp
Bolso Urbano Lsyd,General,6190010009453,23000.0,2.0,https://res.cloudinary.com/darxvchbt/image/upload/6190010009453.webp
Bolso Influencer,General,6190645682007,31382.73,1.0,https://res.cloudinary.com/darxvchbt/image/upload/6190645682007.webp
Bolso Influencer,General,6190645682014,40537.77,0.0,https://res.cloudinary.com/darxvchbt/image/upload/6190645682014.webp
Cartera Amayra Negra,General,6190067310311,55225.17,0.0,https://res.cloudinary.com/darxvchbt/image/upload/6190067310311.webp
